vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Prieto Pariente el Origen 2020|el Origen|2020|Castilla y León|Prieto Pariente|Tinto|Grenache., Tempranillo|25.89|3.1381195|3.5162385|2.4210489|3.29566|333|4.1|white
Prieto Pariente el Origen 2019|el Origen|2019|Castilla y León|Prieto Pariente|Tinto|Grenache., Tempranillo|30.1|3.1381195|3.5162385|2.4210489|3.29566|333|4.1|white
Viña Real Rioja Gran Reserva 2015|Rioja Gran Reserva|2015|Rioja|Viña Real|Tinto de Rioja|Tempranillo, Graciano, Garnacha|43.9|3.726816|3.7480774|1.6235275|3.6361797|6801|4.0|white
Clos Mogador Com Tu 2017|Com Tu|2017|Montsant|Clos Mogador|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|36.0|3.3720295|4.299111|1.8713396|3.1025612|1516|4.1|white
Descendientes de J. Palacios Villa de Corullón Bierzo 2020|Villa de Corullón Bierzo|2020|Bierzo|Descendientes de J. Palacios|Mencía|Mencía|39.5|3.5370674|3.5439196|1.6526723|2.9890983|7606|4.1|white
Dominio de Atauta Parada de Atauta 2020|Parada de Atauta|2020|Ribera del Duero|Dominio de Atauta|Tinto de Ribera del Duero|Tempranillo|16.9|3.6993322|3.8648798|1.7782081|3.6047053|8548|4.0|white
Baigorri Reserva Rioja Tempranillo 2017|Reserva Rioja Tempranillo|2017|Rioja|Baigorri|Tinto de Rioja|Tempranillo, Graciano, Garnacha|21.95|3.7750945|3.8905087|1.7292575|3.9508526|7070|4.0|white
Diez Caballero Victoria 2015|Victoria|2015|Rioja|Diez Caballero|Tinto de Rioja|Tempranillo, Graciano, Garnacha|17.8|3.7311034|3.8888564|1.9113158|3.9630768|321|4.1|white
Terra de Vinyaters Finca Fontanals 2021|Finca Fontanals|2021|Montsant|Terra de Vinyaters|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|19.9|3.405892|4.322777|1.6591648|2.9037924|318|4.1|white
Viña Salceda Rioja Reserva 2018|Rioja Reserva|2018|Rioja|Viña Salceda|Tinto de Rioja|Tempranillo, Graciano, Garnacha|12.86|3.6384451|3.8182347|1.5906606|3.621001|7983|3.8|white
Martinez Lacuesta Rioja Reserva 2011|Rioja Reserva|2011|Rioja|Martinez Lacuesta|Tinto de Rioja|Tempranillo, Graciano, Garnacha|16.95|3.5013375|3.6002672|1.7647058|3.5805044|2651|3.9|white
Volver Alicante Bouschet by Tarima 2018|Alicante Bouschet by Tarima|2018|Alicante|Volver|Tinto|Grenache., Tempranillo|17.15|3.3440316|4.428878|2.5245304|3.7376726|1429|4.2|white
Condado de Haza 20 Aldeas 2019|20 Aldeas|2019|Castilla y León|Condado de Haza|Tempranillo|Tempranillo|13.95|2.706753|4.349838|1.8337497|3.7087126|4522|4.0|white
Bodegas Marqués de Cáceres Gran Reserva 2016|Gran Reserva|2016|Rioja|Bodegas Marqués de Cáceres|Tinto de Rioja|Tempranillo, Graciano, Garnacha|19.85|3.7065427|3.941961|1.6137062|3.7981014|21539|4.1|white
Conde de Los Andes Rioja 2016|Rioja|2016|Rioja|Conde de Los Andes|Tinto de Rioja|Tempranillo, Graciano, Garnacha|27.95|3.7215474|3.8441756|1.6971834|3.6939087|4389|3.7|white
Arrayán Estela de Arrayán 2013|Estela de Arrayán|2013|Méntrida|Arrayán|Tinto|Grenache., Tempranillo|30.0|3.1941516|3.8329983|1.8586326|3.1830804|302|4.1|white
Vinyes Domenech Furvus 2021|Furvus|2021|Montsant|Vinyes Domenech|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|21.35|3.4434652|4.092339|1.8890309|3.3340561|4780|4.0|white
Rodríguez de Vera Pituco Paraje Las Zorreras Monastrell 2018|Pituco Paraje Las Zorreras Monastrell|2018|Jumilla|Rodríguez de Vera|Monastrell|Monastrell|26.24|3.3087769|3.6156113|2.141259|3.8769786|298|4.1|white
Sota els Àngels Tinto 2010|Tinto|2010|Empordà|Sota els Àngels|Tinto|Grenache., Tempranillo|41.62|3.0511568|4.004807|1.7433677|2.890077|297|4.1|white
Sierra Cantabria Gran Reserva 2012|Gran Reserva|2012|Rioja|Sierra Cantabria|Tinto de Rioja|Tempranillo, Graciano, Garnacha|32.1|3.6636405|3.7817795|1.6274033|3.7772596|3497|4.0|white
Artadi Viñas de Gain 2020|Viñas de Gain|2020|Vino de España|Artadi|Tempranillo|Tempranillo|24.5|3.3444383|3.9993823|1.7495235|3.7012887|9942|4.0|white
Marco Abella Mas Mallola 2019|Mas Mallola|2019|Priorato|Marco Abella|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|28.14|3.489703|4.6034446|1.799841|3.3216486|2561|4.1|white
Mas Doix Salanques 2018|Salanques|2018|Priorato|Mas Doix|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|38.35|3.5006683|4.5748644|1.6314975|3.295937|6109|4.1|white
Altos del Enebro Tinto 2021|Tinto|2021|Ribera del Duero|Altos del Enebro|Tinto de Ribera del Duero|Tempranillo|20.23|3.5869079|3.3112638|2.0593867|3.5336933|288|4.1|white
Altos del Enebro Tinto 2020|Tinto|2020|Ribera del Duero|Altos del Enebro|Tinto de Ribera del Duero|Tempranillo|17.65|3.5869079|3.3112638|2.0593867|3.5336933|288|4.1|white
